"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R30","0603","-567mil","-590mil","-567mil","-620mil","-567mil","-620mil","T","90.00","1M"
"L4","0603","-1739mil","-744mil","-1739mil","-714mil","-1739mil","-714mil","T","270.00","10nH"
"U7","SOT23W","-689.402mil","-392.244mil","-652mil","-345mil","-652mil","-345mil","T","180.00","TLE4913"
"U5","SOT23-5A","-1414.5mil","15mil","-1452mil","-35mil","-1452mil","-35mil","T","90.00","TC1070"
"U1","SSOP20_WIDE","-1190.158mil","-93.543mil","-1075mil","60mil","-1075mil","60mil","T","180.00","PIC16F690"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","-1606.315mil","-226.591mil","-1626mil","-201mil","-1606.315mil","-252.181mil","T","270.00","NE85619"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","-1622.315mil","-718.59mil","-1642mil","-693mil","-1622.315mil","-744.181mil","T","270.00","NE85619"
"U2","SC70","-1064mil","-365mil","-1064mil","-365mil","-1038.409mil","-321.693mil","T","180.00","MIC861"
"U6","SC70","-837mil","-365mil","-837mil","-365mil","-811.409mil","-321.693mil","T","180.00","MAX9119EXK+"
"D1","LED_STANLEY_H_1105W","-568mil","-376mil","-568mil","-376mil","-568mil","-296mil","T","90.00","LED"
"U3","SO8_SMALL","-990.386mil","-665.425mil","-952mil","-572mil","-952mil","-572mil","T","180.00","DS1631"
"C23","0603","-1769mil","-371mil","-1799mil","-371mil","-1799mil","-371mil","T","0.00","DNS"
"C22","0603","-1769mil","-421mil","-1799mil","-421mil","-1799mil","-421mil","T","0.00","DNS"
"R24","0603","-953mil","-411mil","-983mil","-411mil","-983mil","-411mil","T","360.00","100K"
"R19","0603","-953mil","-341mil","-983mil","-341mil","-983mil","-341mil","T","360.00","2K"
"Y1","RESONATOR","-1390.929mil","-532.532mil","-1392mil","-536mil","-1343mil","-451mil","T","0.00","916.5_Resonator"
"R16","0603","-1357mil","-375mil","-1387mil","-375mil","-1387mil","-375mil","T","360.00","3.0K"
"R11","0603","-1677mil","-485mil","-1677mil","-515mil","-1677mil","-515mil","T","90.00","68"
"R7","0603","-1602mil","-490mil","-1602mil","-460mil","-1602mil","-460mil","T","270.00","6.8K"
"R14","0603","-1552mil","55mil","-1582mil","55mil","-1582mil","55mil","T","0.00","470"
"C19","0603","-1678mil","-605mil","-1678mil","-635mil","-1678mil","-635mil","T","90.00","2.7 pF"
